Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
fashion-flower-printed-female-shoulder-bag,Fashion Flower Printed Female Shoulder Bag,"<p>Material : Fabric + Leather</p>
<p>Size : 25*21*10 cm</p>
<div class=""a-fixed-left-grid-col a-col-left"">
<span><span class=""a-color-base"">Item Weight : </span></span><span><span class=""a-color-base"">300 g</span></span>
</div>
<div class=""a-fixed-left-grid-col a-col-left""><span><span class=""a-color-base""></span></span></div>
<div class=""a-fixed-left-grid-col a-col-left""><span><span class=""a-color-base"">Fashionable Design: Multiple usages, charastic design, adjustable strap, it can be used as shoulder handbag, crossbody bag, crossbody purse and more.</span></span></div>
<p> </p>
<p> </p>",Bag Bazar,,,Bags,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,119,2999,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6336787580674227179_x.jpg?v=1717054430,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
fashion-flower-printed-female-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6336787580674227182_x.jpg?v=1717054430,2,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion-flower-printed-female-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6336787580674227181_x.jpg?v=1717054430,3,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion-flower-printed-female-shoulder-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/photo_6336787580674227180_x.jpg?v=1717054430,4,,,,,,,,,,,,,,,,,,,,,,,,,,
women-cross-body-bag-travel-bags,Women Cross Body Bag Travel  Bags,"<div class=""attribute-item"" data-mce-fragment=""1"">
<div class=""left"" data-spm-anchor-id=""a2700.wholesale.0.i80.af5073a8h3Qls3"" data-mce-fragment=""1"">Material : <span data-mce-fragment=""1"">Oxford</span>
</div>
<div class=""left"" data-spm-anchor-id=""a2700.wholesale.0.i80.af5073a8h3Qls3"" data-mce-fragment=""1"">Decoration  : <span data-mce-fragment=""1"">None</span>
<p data-mce-fragment=""1"">Style : <span data-mce-fragment=""1"">Fashion, Lady, Vintage, NATIONAL</span></p>
</div>
</div>
<div class=""attribute-item"" data-mce-fragment=""1"">
<div class=""left"" data-mce-fragment=""1"">
<div class=""attribute-item"">
<div data-spm-anchor-id=""a2700.wholesale.0.i85.af5073a8h3Qls3"" class=""left"">Pattern Type :<span>Camouflage pattern</span><br>
</div>
</div>
<div class=""attribute-item"">
<div class=""left"">
<p> </p>
<p>Season : <span>Autumn, Spring, Winter, Summer, All Seasons</span></p>
</div>
</div>
<div class=""attribute-item"">
<div class=""left"">
<p> </p>
</div>
</div>
<div class=""attribute-item"">
<div class=""left"">Size :  <span>L27*W16*H28cm</span>
<p> </p>
</div>
</div>
<div class=""attribute-item"">
<div class=""left"">Usage : <span>Daily Used</span>
</div>
</div>
<div class=""attribute-item"">
<div class=""left"">
<p> </p>
</div>
</div>
<div class=""attribute-item"">
<div class=""left"">Style : <span>Luxury</span>
<p> </p>
</div>
</div>
<div class=""attribute-item"">
<div class=""left"">Function : <span>Hold wallets, Cellphone bags and small belongings</span>
</div>
</div>
<div class=""attribute-item"">
<div class=""right""><span>Messenger Bag</span></div>
</div>
</div>
</div>",Bag Bazar,,,Bags,TRUE,Title,Default Title,,,,,,0,,0,deny,manual,129,2890,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/WhatsAppImage2024-02-10at9.51.03PM.jpg?v=1717054423,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
women-cross-body-bag-travel-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/WhatsAppImage2024-02-10at9.51.00PM.jpg?v=1717054423,2,,,,,,,,,,,,,,,,,,,,,,,,,,
women-cross-body-bag-travel-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/WhatsAppImage2024-02-10at9.50.59PM_1.jpg?v=1717054423,3,,,,,,,,,,,,,,,,,,,,,,,,,,
women-cross-body-bag-travel-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/WhatsAppImage2024-02-10at9.50.59PM.jpg?v=1717054423,4,,,,,,,,,,,,,,,,,,,,,,,,,,
women-cross-body-bag-travel-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/WhatsAppImage2024-02-10at9.50.58PM.jpg?v=1717054423,5,,,,,,,,,,,,,,,,,,,,,,,,,,
women-cross-body-bag-travel-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/WhatsAppImage2024-02-10at9.50.57PM.jpg?v=1717054423,6,,,,,,,,,,,,,,,,,,,,,,,,,,
women-cross-body-bag-travel-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0708/4117/2208/files/WhatsAppImage2024-02-10at9.50.56PM.jpg?v=1717054423,7,,,,,,,,,,,,,,,,,,,,,,,,,,
